Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
01/11/2023,37075,2,Graham County,NC,96.8,5624,66.6,5617,69.9,5538,74.7,5378,79.5,2224,95,4472,53,4472,55.6,196,15.4,4410,59.5,4276,63.2,1794,86.8,1481,33.1,1481,33.1,1474,33.4,1446,33.8,1160,38.5,763,42.5,355,30.6,251,32.9,C,10,10,9,10,10,12,Non-metro,6,6,5,6,6,8,10,10,10,9,6,6,6,5,8441,8040,1273,7414,6767,2067,686,8.5,685,9.2,681,10.1,463,22.4
01/11/2023,38077,2,Richland County,ND,92.7,10141,62.7,10071,66.4,9719,70.5,9195,72.7,2980,95,8887,54.9,8868,58.5,753,29.8,8580,62.3,8115,64.2,2643,87.5,4886,55,4886,55.1,4820,56.2,4655,57.4,3489,69.5,2063,78.1,1979,56.7,1357,65.8,A,2,2,1,2,2,4,Non-metro,6,6,5,6,6,8,4,4,4,3,8,8,8,7,16177,15171,2530,13777,12641,3021,2659,17.5,2625,19.1,2570,20.3,1494,49.5
01/11/2023,37015,2,Bertie County,NC,96.8,13421,70.8,13410,74,13225,78.5,12736,81.4,4619,95,10361,54.7,10358,57.1,551,22.2,10217,60.6,9807,62.7,3592,80.2,3803,36.7,3803,36.7,3799,37.2,3747,38.2,3019,45.3,1828,50.9,1146,38,780,42.7,D,14,14,13,14,14,16,Non-metro,6,6,5,6,6,8,14,14,14,14,6,6,6,6,18947,18126,2479,16854,15647,4479,1487,8.2,1486,8.8,1476,9.4,885,19.8
01/11/2023,48175,2,Goliad County,TX,98.9,3729,48.7,3726,51.5,3668,55.1,3483,57.4,1356,74,3270,42.7,3268,45.2,198,17,3221,48.4,3070,50.6,1228,67,1463,44.7,1463,44.8,1459,45.3,1444,47,1223,56.4,801,65.2,512,41.9,383,47.8,C,9,9,9,9,10,11,Metro,1,1,1,1,2,3,11,11,11,11,3,3,3,3,7658,7235,1164,6653,6071,1832,477,6.6,472,7.1,467,7.7,317,17.3
01/11/2023,16045,2,Gem County,ID,97.7,8566,47.3,8548,50.1,8428,54.6,8034,57.5,3355,84.2,7506,41.4,7502,44,427,13.8,7405,47.9,7075,50.6,3034,76.1,3648,48.6,3648,48.6,3624,48.9,3563,50.4,2987,59.4,2007,66.2,1576,52.8,1193,59.4,C,9,9,9,9,10,11,Metro,1,1,1,1,2,3,11,11,12,11,3,3,4,3,18112,17064,3085,15448,13979,3986,1770,10.4,1759,11.4,1740,12.4,1174,29.5
01/11/2023,29085,2,Hickory County,MO,91.3,4273,44.8,4273,46.8,4248,49.8,4157,52.3,2166,68.2,3761,39.4,3761,41.2,80,6.8,3745,43.9,3681,46.3,1993,62.8,2107,56,2107,56,2104,56.2,2095,56.9,1927,63.1,1381,69.3,1012,52.5,790,57.2,C,9,9,9,9,9,10,Non-metro,5,5,5,5,5,6,12,12,12,11,8,8,8,7,9544,9123,1176,8537,7947,3175,1021,11.2,1020,11.9,1016,12.8,742,23.4
01/11/2023,45045,2,Greenville County,SC,93,351640,67.2,349108,71.1,335823,75.6,313681,77.7,84780,95,302165,57.7,300963,61.3,29919,34.2,290268,65.4,271044,67.2,74973,88.7,140820,46.6,140803,46.8,138906,47.9,133760,49.3,90562,61.4,53643,71.5,41847,46.2,28322,52.8,C,10,10,10,11,11,12,Metro,2,2,2,3,3,4,11,11,11,11,3,3,3,3,523542,491051,87482,443991,403569,84528,55433,11.3,54546,12.3,53063,13.1,27788,32.9
01/11/2023,30085,2,Roosevelt County,MT,95.9,10899,95,10831,95,9899,95,8632,95,1712,95,9648,87.7,9644,95,1838,70.6,8935,95,7806,95,1582,95,4363,45.2,4363,45.2,4289,48,4011,51.4,2347,66.3,1215,76.8,1006,42.9,638,52.5,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,15,15,16,15,7,7,8,7,11004,9924,2604,8436,7320,1293,1426,14.4,1367,16.2,1284,17.5,567,43.9
01/11/2023,48139,2,Ellis County,TX,98.9,117220,63.4,116992,67.8,113077,73.7,103785,76.4,23802,95,102836,55.6,102780,59.6,11241,30.6,99618,65,91539,67.4,21735,89.5,37912,36.9,37910,36.9,37547,37.7,36680,40.1,25612,53.8,14168,65.2,11788,46,7600,53.6,C,10,10,10,11,11,12,Metro,2,2,2,3,3,4,10,10,11,11,2,2,3,3,184826,172508,36690,153348,135818,24288,14333,8.3,14200,9.3,13879,10.2,7074,29.1
01/11/2023,17023,2,Clark County,IL,98,9318,60.3,9298,63.8,9043,68.5,8585,71.6,3101,95,8038,52.1,8037,55.2,572,22.3,7844,59.4,7465,62.2,2769,88.9,4415,54.9,4415,54.9,4395,56,4301,57.6,3460,69,2212,79.9,1672,48.3,1240,56.1,A,2,2,1,2,2,4,Non-metro,6,6,5,6,6,8,4,4,4,3,8,8,8,7,15441,14567,2569,13196,11998,3115,1904,13.1,1897,14.4,1870,15.6,1198,38.5
01/11/2023,29039,2,Cedar County,MO,91.3,5327,37.1,5325,39.8,5278,43.6,5107,46.9,2219,65.2,4693,32.7,4693,35.1,187,7.5,4663,38.5,4506,41.4,2028,59.6,2374,50.6,2374,50.6,2374,50.9,2357,52.3,2048,62.4,1425,70.3,960,46.9,764,53.6,C,9,9,9,9,9,10,Non-metro,5,5,5,5,5,6,12,12,12,11,8,8,8,7,14349,13380,2486,12107,10894,3403,966,7.2,965,8,960,8.8,690,20.3
01/11/2023,46107,2,Potter County,SD,96.7,1557,72.3,1552,75.8,1506,80.7,1449,85.3,667,95,1353,62.8,1352,66,91,26,1312,70.3,1261,74.3,574,91.4,777,57.4,777,57.5,774,59,756,60,614,67.8,418,72.8,269,43.8,203,48.6,A,2,3,1,3,3,4,Non-metro,6,7,5,7,7,8,4,4,4,3,8,8,8,7,2153,2048,350,1866,1698,628,305,14.9,301,16.1,292,17.2,202,32.2
01/11/2023,47129,2,Morgan County,TN,97.8,12689,59.3,12677,62.4,12535,66.4,12141,69.9,4019,95,11340,53,11339,55.8,445,15,11233,59.5,10894,62.7,3742,94.1,5054,44.6,5054,44.6,5050,45,4988,45.8,3952,56.7,2496,66.7,1619,41,1153,46.2,C,10,10,9,10,10,12,Metro,2,2,1,2,2,4,11,11,11,11,3,3,3,3,21403,20325,2961,18874,17364,3975,1673,8.2,1670,8.8,1656,9.5,1046,26.3
01/11/2023,21163,2,Meade County,KY,94.1,13558,47.5,13509,50,13142,53.6,12354,55.5,3395,81.1,11664,40.8,11659,43.1,969,20.3,11378,46.4,10690,48,3051,72.9,5298,45.4,5298,45.4,5250,46.1,5077,47.5,3760,59.3,2110,69.2,1899,50.5,1237,58.6,A,1,1,1,1,1,3,Metro,1,1,1,1,1,3,3,3,3,3,3,3,3,3,28572,27042,4785,24512,22257,4187,2167,8,2151,8.8,2101,9.4,1141,27.3
01/11/2023,13305,2,Wayne County,GA,88.9,14655,49,14646,52.2,14478,57.5,13895,61.3,4171,87.2,12945,43.3,12941,46.2,591,11,12804,50.9,12350,54.5,3878,81.1,4897,37.8,4897,37.8,4879,38.1,4813,39,3640,49.9,2238,57.7,1237,34,916,40.9,D,13,13,13,14,14,16,Non-metro,5,5,5,6,6,8,14,14,14,14,6,6,6,6,29927,28031,5366,25175,22665,4783,1298,4.6,1293,5.1,1288,5.7,809,16.9
01/11/2023,18119,2,Owen County,IN,98.6,10045,48.3,10002,50.7,9758,53.9,9270,56.2,3263,78.7,9204,44.3,9192,46.6,615,18.9,8995,49.7,8577,52,3086,74.5,4736,51.5,4736,51.5,4679,52,4548,53,3507,61.1,2173,70.4,1422,40.5,1053,48.5,B,5,5,5,5,6,7,Metro,1,1,1,1,2,3,8,8,8,7,4,4,4,3,20799,19744,3257,18091,16487,4145,1425,7.2,1403,7.8,1374,8.3,897,21.6
01/11/2023,72099,2,Moca Municipio,PR,97.8,29526,84.6,29489,87.9,27718,89.1,25343,89.5,6114,95,27822,79.7,27810,82.9,3891,74.6,26211,84.2,23919,84.4,5771,89.9,17638,63.4,17638,63.4,17598,67.1,16055,67.1,8732,72.9,4364,75.6,2334,26.7,1395,32,C,11,12,12,12,12,12,Metro,3,4,4,4,4,4,12,12,12,11,4,4,4,3,34891,33543,5219,31118,28324,6420,1525,4.5,1516,4.9,1497,5.3,734,11.4
01/11/2023,36085,2,Richmond County,NY,97.5,408186,85.7,406937,90.7,392253,95,364328,95,79854,95,363651,76.4,363154,80.9,37089,48.6,350924,85.8,326065,87.5,72860,91.9,161841,44.5,161800,44.6,160398,45.7,154583,47.4,95477,59.1,49688,68.2,34300,35.9,22154,44.6,C,11,12,11,12,12,12,Metro,3,4,3,4,4,4,11,11,11,11,3,3,3,3,476143,448789,76332,408998,372457,79301,42433,9.5,41943,10.3,40990,11,20170,25.4
01/11/2023,UNK,2,Unknown County,HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2023,17047,2,Edwards County,IL,98,2872,44.9,2869,47.6,2833,52,2752,55.6,1152,82.3,2665,41.7,2665,44.2,106,9.9,2635,48.4,2559,51.7,1097,78.4,1348,50.6,1348,50.6,1348,51.2,1332,52.1,1112,61.4,780,71.1,501,45.1,390,50,A,1,1,1,1,2,3,Non-metro,5,5,5,5,6,7,4,4,4,3,8,8,8,7,6395,6024,1070,5444,4954,1399,503,8.3,503,9.2,503,10.2,367,26.2
01/11/2023,13183,2,Long County,GA,88.9,5225,26.7,5214,28.8,5069,31.7,4692,33,1004,50.5,4392,22.5,4389,24.2,412,10.6,4288,26.8,3977,27.9,890,44.8,1539,35,1539,35.1,1535,35.8,1503,37.8,1012,51.1,536,60.2,359,35.5,223,41.6,D,13,13,13,13,13,13,Metro,1,1,1,1,1,1,14,14,14,14,2,2,2,2,19559,18114,3875,15984,14239,1987,537,3,536,3.4,525,3.7,235,11.8
01/11/2023,30081,2,Ravalli County,MT,95.9,24838,56.7,24748,59.2,24268,62.7,23225,65.3,10130,87.1,22179,50.6,22140,53,1314,21.2,21742,56.2,20826,58.5,9298,80,12669,57.1,12667,57.2,12590,57.9,12376,59.4,10042,67,6864,73.8,5375,53.5,4079,59.4,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,8,8,8,7,8,8,8,7,43806,41802,6211,38686,35591,11628,5602,13.4,5562,14.4,5491,15.4,3527,30.3
01/11/2023,17157,2,Randolph County,IL,98,18292,57.6,18265,60.6,17951,64.6,17262,67.1,5463,88.7,16934,53.3,16921,56.2,895,20.3,16648,59.9,16026,62.3,5175,84.1,8208,48.5,8208,48.5,8161,49,8031,50.1,6142,63.2,3851,74.4,2937,47.8,2173,56.4,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,7,7,8,7,7,7,8,7,31782,30127,4408,27789,25719,6157,3095,10.3,3076,11.1,3046,11.8,1982,32.2
01/11/2023,01081,2,Lee County,AL,92.6,82547,50.2,82214,53.1,79648,56.3,74838,57.6,16340,80.1,69154,42,68992,44.5,6041,24,66986,47.3,62951,48.5,14116,69.2,28362,41,28343,41.1,27998,41.8,26966,42.8,16815,58.1,9492,67.2,7465,44.4,4925,51.9,C,9,9,9,9,9,11,Metro,1,1,1,1,1,3,11,11,11,11,3,3,3,3,164542,154970,25149,141532,129821,20412,9273,6,9188,6.5,8896,6.9,4169,20.4
01/11/2023,34025,2,Monmouth County,NJ,94.1,524793,84.8,522947,88.9,506093,93.9,476591,95,121930,95,439133,71,438150,74.5,40342,40.7,423825,78.6,397808,81.3,101500,90.2,247008,56.2,246959,56.4,244896,57.8,237022,59.6,153974,70.2,80555,79.4,71267,46.3,44925,55.8,A,3,3,3,3,4,4,Metro,3,3,3,3,4,4,4,4,4,3,4,4,4,3,618795,588468,99085,539254,489383,112498,93829,15.9,92692,17.2,90757,18.5,44747,39.8
01/11/2023,08097,2,Pitkin County,CO,97,19397,95,19270,95,18512,95,17542,95,3935,95,15420,86.8,15367,89.9,1351,69.8,14819,91.7,14016,92.5,3283,91,8564,55.5,8562,55.7,8433,56.9,8067,57.6,5033,69.7,2592,79,2943,58.5,1758,67.8,A,4,4,4,4,4,4,Non-metro,8,8,8,8,8,8,4,4,4,3,8,8,8,7,17767,17092,1936,16160,15156,3606,3441,20.1,3377,20.9,3244,21.4,1521,42.2
01/11/2023,17007,2,Boone County,IL,98,36491,68.2,36279,71.8,34587,75.8,31576,78.1,8224,95,33747,63,33660,66.6,4297,42.4,32161,70.5,29363,72.7,7701,89.1,18534,54.9,18533,55.1,18294,56.9,17444,59.4,11756,72.6,6386,82.9,6554,55.8,4239,66.4,B,6,7,7,7,7,8,Metro,2,3,3,3,3,4,8,8,8,8,4,4,4,4,53544,50538,10131,45636,40407,8642,7748,15.3,7635,16.7,7440,18.4,3931,45.5
01/11/2023,72067,2,Hormigueros Municipio,PR,97.8,13348,86,13327,88.3,12595,91,11701,89.1,3698,83.2,12715,81.9,12705,84.2,1526,78,12038,87,11179,85.1,3514,79,9397,73.9,9397,74,9322,77.4,8696,77.8,5142,82.3,2890,82.2,2068,40.2,1313,45.4,D,16,16,16,16,16,15,Metro,4,4,4,4,4,3,16,16,16,16,4,4,4,4,15518,15093,1957,13840,13136,4447,1095,7.3,1087,7.9,1063,8.1,541,12.2
01/11/2023,19127,2,Marshall County,IA,97.3,29535,75,29288,79.6,27903,84.8,25621,87.1,7480,95,26980,68.5,26909,73.1,3264,44.1,25695,78.1,23645,80.4,7222,95,15732,58.3,15730,58.5,15406,60,14690,62.1,10321,77.2,6032,83.5,6568,63.6,4450,73.8,C,11,11,11,11,12,12,Non-metro,7,7,7,7,8,8,12,12,12,12,8,8,8,8,39369,36812,7393,32886,29419,7279,7621,20.7,7471,22.7,7205,24.5,4113,56.5
01/11/2023,13319,2,Wilkinson County,GA,88.9,5228,58.4,5221,61.8,5135,66.9,4811,69.4,1503,83.1,4696,52.4,4694,55.5,326,21.5,4632,60.3,4368,63,1439,79.6,2164,46.1,2164,46.1,2160,46.6,2124,48.6,1685,60.1,963,66.9,754,44.7,482,50.1,D,14,14,13,14,14,15,Non-metro,6,6,5,6,6,7,15,15,15,15,7,7,7,7,8954,8453,1519,7676,6934,1808,651,7.7,650,8.5,647,9.3,383,21.2
01/11/2023,49051,2,Wasatch County,UT,97.7,23750,69.7,23560,74.7,22055,80.4,19580,82.8,4362,95,21363,62.7,21313,67.5,3477,43.9,20110,73.3,17836,75.4,4083,95,10509,49.2,10507,49.3,10288,51.2,9695,54.4,5961,69.8,3138,76.9,3117,52.3,2009,64,A,2,3,3,3,3,4,Non-metro,6,7,7,7,7,8,3,4,4,3,7,8,8,7,34091,31556,7914,27418,23642,4191,4048,12.8,3937,14.4,3778,16,1879,44.8
01/11/2023,41003,2,Benton County,OR,97.7,78940,84.8,78199,87.6,74566,89.2,70019,89.7,16159,95,72138,77.5,71846,80.4,7379,65.5,68715,82.2,64467,82.6,15243,95,47494,65.8,47494,66.1,46295,67.4,44016,68.3,23502,83.4,13811,90.6,17059,72.6,10884,78.8,B,7,8,8,8,8,8,Metro,3,4,4,4,4,4,8,8,8,8,4,4,4,4,93053,89308,11268,83595,78040,15639,24560,27.5,23835,28.5,22813,29.2,9624,61.5
01/11/2023,53049,2,Pacific County,WA,96,15696,69.9,15669,72.6,15356,75.8,14591,76.7,6543,90.4,13953,62.1,13936,64.6,890,35,13688,67.6,13046,68.5,5951,82.3,7957,57,7957,57.1,7930,57.9,7766,59.5,6412,67.2,4328,72.7,3425,53.4,2590,59.8,C,10,10,10,11,11,12,Non-metro,6,6,6,7,7,8,12,12,12,11,8,8,8,7,22471,21575,2542,20248,19033,7235,3522,16.3,3514,17.4,3479,18.3,2405,33.2
01/11/2023,38009,2,Bottineau County,ND,92.7,3842,61.2,3820,64.4,3741,69.2,3542,71.7,1511,95,3348,53.3,3337,56.2,231,23.2,3266,60.4,3106,62.9,1355,87.9,1786,53.3,1786,53.5,1766,54.1,1717,55.3,1435,64.8,998,73.7,749,52.2,580,58.1,A,2,2,1,2,2,4,Non-metro,6,6,5,6,6,8,4,4,4,3,8,8,8,7,6282,5935,996,5409,4939,1541,951,16,945,17.5,929,18.8,653,42.4
01/11/2023,17075,2,Iroquois County,IL,98,15235,56.2,15214,59.4,14923,63.8,14199,66.8,5240,87.8,14243,52.5,14231,55.6,930,21.4,13975,59.7,13301,62.6,4957,83.1,7788,54.7,7788,54.7,7763,55.5,7585,57,5839,67.8,3737,75.4,2870,49.2,2144,57.4,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,8,8,8,7,8,8,8,7,27114,25605,4353,23401,21252,5967,2997,11.7,2984,12.8,2941,13.8,1927,32.3
01/11/2023,35003,2,Catron County,NM,97,2033,57.6,2030,59,2013,61.3,1978,63.5,1103,72.3,1701,48.2,1701,49.5,42,12.9,1689,51.4,1659,53.3,934,61.2,943,55.4,943,55.4,941,55.7,931,56.1,807,59.1,594,63.6,351,43.5,283,47.6,B,5,5,5,6,6,6,Non-metro,5,5,5,6,6,6,8,8,8,6,8,8,8,6,3527,3438,325,3286,3113,1526,386,11.2,386,11.7,386,12.4,295,19.3
01/11/2023,56015,2,Goshen County,WY,97.1,6208,47,6203,49.6,6087,52.9,5848,55.1,2417,81.9,5509,41.7,5507,44,303,16,5418,47.1,5204,49,2233,75.7,2744,49.8,2744,49.8,2738,50.5,2708,52,2222,62.5,1543,69.1,958,43.1,765,49.6,B,5,5,5,5,5,7,Non-metro,5,5,5,5,5,7,7,8,8,7,7,8,8,7,13211,12517,1898,11513,10619,2951,962,7.7,958,8.3,949,8.9,684,23.2
