fips,state,year,ent,child_acs,ent_pc
11,District of Columbia,2012,484,108372,4.466098254161592
11,District of Columbia,2013,396,110442,3.585592437659586
11,District of Columbia,2014,383,113944,3.3613002878607032
11,District of Columbia,2015,435,116926,3.7203017292988725
11,District of Columbia,2016,395,120165,3.2871468397619936
11,District of Columbia,2017,321,122988,2.6100107327544153
12,Florida,2010,14384,3978699,3.6152521213592683
12,Florida,2011,15846,3975411,3.9860029566754225
12,Florida,2012,15674,3977416,3.9407494715161806
12,Florida,2013,14310,3999854,3.5776305835162985
12,Florida,2014,15804,4032465,3.9191908671246987
12,Florida,2015,17677,4077614,4.33513324213621
12,Florida,2016,17677,4126611,4.283660369247307
12,Florida,2017,16799,4182088,4.016892996990977
13,Georgia,2010,5469,2481411,2.2039879729718295
13,Georgia,2011,6419,2477818,2.5905857492358195
13,Georgia,2012,6243,2481063,2.5162601675169074
13,Georgia,2013,6005,2478647,2.42269270291413
13,Georgia,2014,7519,2481214,3.0303714230211503
13,Georgia,2015,8581,2494043,3.440598257528038
13,Georgia,2016,8551,2499973,3.4204369407189597
13,Georgia,2017,7821,2506415,3.120393071378842
15,Hawaii,2010,1023,298664,3.4252537969089007
15,Hawaii,2011,1025,301847,3.3957601036286595
15,Hawaii,2012,1071,299480,3.5761987444904504
15,Hawaii,2013,1022,303075,3.3721026148643074
15,Hawaii,2014,1076,302857,3.5528318645433323
15,Hawaii,2015,1189,308608,3.8527841144753214
15,Hawaii,2016,1163,304455,3.8199405495064953
15,Hawaii,2017,1179,300616,3.9219469356255154
16,Idaho,2010,1386,427011,3.245818023423284
16,Idaho,2011,1230,427086,2.8799820176732553
16,Idaho,2012,1084,423539,2.5593865027777847
16,Idaho,2013,1226,424813,2.8859757116660743
16,Idaho,2014,1138,429900,2.647127238892766
16,Idaho,2015,1201,429650,2.795298498778075
16,Idaho,2016,1314,434363,3.025119542870825
16,Idaho,2017,1249,440734,2.833908888354427
17,Illinois,2010,5465,3116228,1.7537227699642004
17,Illinois,2011,4342,3077555,1.41086024457727
17,Illinois,2012,4617,3049398,1.5140693343407452
17,Illinois,2013,4648,3011731,1.5432985216807211
17,Illinois,2014,4893,2968623,1.6482389309791103
17,Illinois,2015,4929,2945220,1.6735591908244545
17,Illinois,2016,4455,2911325,1.5302310803500123
17,Illinois,2017,4843,2883439,1.6795916265265194
18,Indiana,2010,9170,1596003,5.745603235081639
18,Indiana,2011,7522,1585016,4.745693418867696
18,Indiana,2012,7663,1582715,4.841680277245113
18,Indiana,2013,7893,1576666,5.006133194982323
18,Indiana,2014,9107,1573622,5.787285637846955
18,Indiana,2015,11175,1572740,7.105433828859188
18,Indiana,2016,12785,1567608,8.155737914070354
18,Indiana,2017,12826,1562298,8.209701350190553
19,Iowa,2010,4725,715598,6.602869208689795
19,Iowa,2011,4423,717672,6.162982532410349
19,Iowa,2012,4324,718957,6.014267890847436
19,Iowa,2013,4500,721332,6.238458851125418
19,Iowa,2014,3908,721350,5.417619740763845
19,Iowa,2015,4007,719443,5.569586471756623
19,Iowa,2016,3848,720180,5.343108667277625
19,Iowa,2017,4129,726605,5.682592330083057
20,Kansas,2010,3567,722303,4.9383707391496365
20,Kansas,2011,3439,718812,4.784282955765903
20,Kansas,2012,3724,716305,5.198902702061273
20,Kansas,2013,3963,715684,5.537360063938833
20,Kansas,2014,3844,720698,5.333718145464536
20,Kansas,2015,3984,716546,5.560005917275373
20,Kansas,2016,3880,711714,5.451628041600981
20,Kansas,2017,3997,703103,5.684800093300697
21,Kentucky,2010,5500,1011553,5.437184210812483
21,Kentucky,2011,5120,1017050,5.034167445061699
21,Kentucky,2012,5627,1011834,5.561188890667837
21,Kentucky,2013,5540,1006137,5.506208399055
21,Kentucky,2014,5766,1008941,5.714903051813733
21,Kentucky,2015,5383,1005284,5.354705734896806
21,Kentucky,2016,5690,1005289,5.660063921916981
21,Kentucky,2017,5995,1006421,5.956751697351307
22,Louisiana,2010,3344,1112134,3.0068319105431542
22,Louisiana,2011,3731,1115707,3.3440679318136395
22,Louisiana,2012,3131,1113494,2.811869664317904
22,Louisiana,2013,3475,1105534,3.143277366412973
22,Louisiana,2014,4080,1110594,3.6737097445150972
22,Louisiana,2015,4099,1110072,3.69255327582355
22,Louisiana,2016,3729,1111025,3.356360117909138
22,Louisiana,2017,3527,1106094,3.188698248069332
23,Maine,2010,760,272726,2.786679671171799
23,Maine,2011,552,268295,2.057436776682383
23,Maine,2012,911,265363,3.433033241258201
23,Maine,2013,962,257645,3.733819790797415
23,Maine,2014,916,258457,3.5441098519289476
23,Maine,2015,902,251806,3.5821227452880393
23,Maine,2016,916,256005,3.5780551161110132
23,Maine,2017,820,253379,3.2362587270452563
24,Maryland,2010,2793,1338511,2.0866470279287954
24,Maryland,2011,2806,1337870,2.0973637199428943
24,Maryland,2012,2653,1335454,1.9865903280831838
24,Maryland,2013,2302,1339530,1.7185132098571887
24,Maryland,2014,2097,1342817,1.5616424278215126
24,Maryland,2015,2114,1335781,1.582594751684595
24,Maryland,2016,2250,1341641,1.677050716249727
24,Maryland,2017,2366,1340484,1.7650341220036943
25,Massachusetts,2010,5516,1408763,3.9154918179991953
25,Massachusetts,2011,5371,1396897,3.844950629860326
25,Massachusetts,2012,5300,1395002,3.799277707128735
25,Massachusetts,2013,5425,1381539,3.9267802067115007
25,Massachusetts,2014,6688,1378113,4.853012779068189
25,Massachusetts,2015,6250,1377905,4.53587148606036
25,Massachusetts,2016,6661,1369288,4.8645719527228755
25,Massachusetts,2017,6103,1362607,4.478914316453681
26,Michigan,2010,8192,2322729,3.5268858312786384
26,Michigan,2011,7392,2278197,3.244671114921142
26,Michigan,2012,7145,2255093,3.16838374293211
26,Michigan,2013,7716,2230091,3.4599484953753006
26,Michigan,2014,7793,2206670,3.531565662287519
26,Michigan,2015,6217,2196217,2.83077674018551
26,Michigan,2016,6512,2167497,3.0043870879636745
26,Michigan,2017,6854,2159205,3.174316472961113
27,Minnesota,2010,5681,1275315,4.454585729800089
27,Minnesota,2011,5911,1275522,4.634181143092789
27,Minnesota,2012,5948,1269695,4.68458960616526
27,Minnesota,2013,6059,1268185,4.777694106143819
27,Minnesota,2014,6212,1270369,4.889917811281604
27,Minnesota,2015,6911,1275010,5.420349644316516
27,Minnesota,2016,7277,1277049,5.698293487563907
27,Minnesota,2017,7408,1282817,5.774790948358183
28,Mississippi,2010,2577,748862,3.441221480059076
28,Mississippi,2011,2368,748449,3.1638762293756826
28,Mississippi,2012,2424,745170,3.252948991505294
28,Mississippi,2013,2509,732057,3.4273287462588296
28,Mississippi,2014,3054,726307,4.204833493274883
28,Mississippi,2015,3082,725527,4.247946664975942
28,Mississippi,2016,3695,719948,5.132315111646952
28,Mississippi,2017,3195,710733,4.495359016677149
29,Missouri,2010,5791,1409967,4.107188324265745
29,Missouri,2011,5911,1402941,4.213291934585988
29,Missouri,2012,6195,1389415,4.45871104025795
29,Missouri,2013,6401,1390206,4.604353599394622
29,Missouri,2014,7121,1383770,5.1460864160951605
29,Missouri,2015,6906,1378507,5.009767814019081
29,Missouri,2016,7350,1381694,5.31955700755739
29,Missouri,2017,6774,1376755,4.920265406699086
30,Montana,2010,958,220626,4.342189950413822
30,Montana,2011,1041,220046,4.730829008480045
30,Montana,2012,1298,218473,5.941237589999679
30,Montana,2013,1434,222487,6.445320400742515
30,Montana,2014,1392,222743,6.249354637407236
30,Montana,2015,1940,223335,8.68650233953478
30,Montana,2016,2151,227231,9.466137982933667
30,Montana,2017,2361,227971,10.356580442249232
31,Nebraska,2010,3373,454210,7.426080447370159
31,Nebraska,2011,3151,456121,6.908254607878173
31,Nebraska,2012,2806,461831,6.075815612204464
31,Nebraska,2013,2708,462140,5.859696195957935
31,Nebraska,2014,2204,466209,4.727493463232156
31,Nebraska,2015,2351,467820,5.025437133940405
31,Nebraska,2016,2521,467666,5.390599273840732
31,Nebraska,2017,2644,471523,5.607361676948951
32,Nevada,2010,2883,663244,4.346816556199528
32,Nevada,2011,2778,657749,4.223495588742818
32,Nevada,2012,3125,659217,4.740472408933629
32,Nevada,2013,3382,660659,5.119131049452138
32,Nevada,2014,3343,660005,5.065113143082249
32,Nevada,2015,3491,665117,5.248700604555289
32,Nevada,2016,3415,666148,5.12648840798141
32,Nevada,2017,3367,680200,4.9500147015583655
33,New Hampshire,2010,522,284560,1.8344110205229125
33,New Hampshire,2011,495,278630,1.7765495459928937
33,New Hampshire,2012,535,271948,1.9672878638563254
33,New Hampshire,2013,600,270958,2.2143653259914817
33,New Hampshire,2014,524,267343,1.960028876761314
33,New Hampshire,2015,713,261987,2.7215090825117274
33,New Hampshire,2016,846,259607,3.258771912929929
33,New Hampshire,2017,925,256067,3.6123358339809504
34,New Jersey,2010,4653,2048914,2.2709591520190697
34,New Jersey,2011,4535,2031751,2.2320648544039106
34,New Jersey,2012,5253,2020386,2.599998218162272
34,New Jersey,2013,5361,2009528,2.6677906453654785
34,New Jersey,2014,5056,2000195,2.527753544029457
34,New Jersey,2015,4594,1985113,2.3142259407902728
34,New Jersey,2016,4271,1975996,2.161441622351462
34,New Jersey,2017,3726,1964790,1.8963858732994368
35,New Mexico,2010,1766,516203,3.421134708632069
35,New Mexico,2011,1779,516379,3.445143973709233
35,New Mexico,2012,1722,513000,3.3567251461988303
35,New Mexico,2013,1858,504540,3.6825623340072147
35,New Mexico,2014,2120,494910,4.283607120486553
35,New Mexico,2015,1795,497827,3.605670242875537
35,New Mexico,2016,1872,482677,3.878370007271944
35,New Mexico,2017,1902,484966,3.9219244235678383
36,New York,2010,12605,4272923,2.9499712491893724
36,New York,2011,11122,4244135,2.6205575458839077
36,New York,2012,10594,4228753,2.5052302652815146
36,New York,2013,9345,4193412,2.2284955544554172
36,New York,2014,9691,4179948,2.31844989459199
36,New York,2015,8957,4167165,2.1494229290176894
36,New York,2016,8220,4130225,1.9902063446906644
36,New York,2017,8852,4105912,2.155915665021559
37,North Carolina,2010,4769,2277414,2.09404175086304
37,North Carolina,2011,5054,2283926,2.212856283434752
37,North Carolina,2012,5026,2275668,2.208582271227613
37,North Carolina,2013,5300,2274475,2.3302080699941743
37,North Carolina,2014,5798,2281090,2.5417673129951033
37,North Carolina,2015,5597,2275212,2.4599905415407446
37,North Carolina,2016,6032,2284994,2.639831877020246
37,North Carolina,2017,5777,2294641,2.517605150435297
38,North Dakota,2010,819,149269,5.486738706630312
38,North Dakota,2011,789,150433,5.244859837934495
38,North Dakota,2012,856,152909,5.598100831213336
38,North Dakota,2013,951,159801,5.951151744982822
38,North Dakota,2014,999,166670,5.993880122397552
38,North Dakota,2015,1037,171350,6.0519404727166615
38,North Dakota,2016,1075,171862,6.255018561403918
38,North Dakota,2017,1086,171264,6.341087443946188
39,Ohio,2010,9260,2707257,3.420436257067578
39,Ohio,2011,9934,2678769,3.7084198002888638
39,Ohio,2012,9551,2643902,3.612463699486592
39,Ohio,2013,9875,2635887,3.7463669724840254
39,Ohio,2014,9924,2623453,3.7828007591521553
39,Ohio,2015,10360,2616233,3.9598919515196087
39,Ohio,2016,10772,2596690,4.148358102045297
39,Ohio,2017,11845,2586214,4.5800540867847745
40,Oklahoma,2010,4335,930535,4.6586103693036804
40,Oklahoma,2011,4711,928753,5.072392767506539
40,Oklahoma,2012,5385,933832,5.766561865517566
40,Oklahoma,2013,6033,942620,6.400246122509601
40,Oklahoma,2014,5860,946446,6.191584094602334
40,Oklahoma,2015,5458,955314,5.7133047354063695
40,Oklahoma,2016,5197,958884,5.419842233262835
40,Oklahoma,2017,5128,956645,5.360400148435417
41,Oregon,2010,4826,862657,5.594343986080215
41,Oregon,2011,4250,854784,4.972016322252172
41,Oregon,2012,4215,857625,4.914735461303017
41,Oregon,2013,3797,854560,4.443222243025651
41,Oregon,2014,3405,854120,3.986559265676954
41,Oregon,2015,3752,855632,4.385062737251529
41,Oregon,2016,3826,861133,4.442983836410868
41,Oregon,2017,4138,869396,4.759626223263047
42,Pennsylvania,2010,16526,2772600,5.960470316670273
42,Pennsylvania,2011,10687,2746619,3.8909655835046655
42,Pennsylvania,2012,10289,2721316,3.7808913040602414
42,Pennsylvania,2013,9788,2694877,3.6320767144474497
42,Pennsylvania,2014,10946,2675940,4.090525198621793
42,Pennsylvania,2015,11290,2671058,4.226789534334335
42,Pennsylvania,2016,10899,2648770,4.11474004915489
42,Pennsylvania,2017,10998,2643786,4.15994335396284
44,Rhode Island,2010,1465,223274,6.5614446823185855
44,Rhode Island,2011,1219,217518,5.604133910756811
44,Rhode Island,2012,1234,216547,5.698531958420112
44,Rhode Island,2013,1254,211189,5.937809260899005
44,Rhode Island,2014,1320,211274,6.247810899590106
44,Rhode Island,2015,1224,210637,5.810944895721074
44,Rhode Island,2016,1087,207635,5.23514821682279
44,Rhode Island,2017,1263,205839,6.135863466107006
45,South Carolina,2010,3393,1075736,3.1541195981170103
45,South Carolina,2011,2938,1077282,2.727233909041458
45,South Carolina,2012,2796,1077124,2.595801411908007
45,South Carolina,2013,2939,1072310,2.7408118920834457
45,South Carolina,2014,3407,1077545,3.161816907878557
45,South Carolina,2015,3644,1083848,3.3620950539189995
45,South Carolina,2016,3758,1095321,3.430957682724973
45,South Carolina,2017,3686,1098063,3.3568201460207656
46,South Dakota,2010,1459,203227,7.17916418586113
46,South Dakota,2011,1407,201464,6.983878012945241
46,South Dakota,2012,1190,202887,5.865333905080168
46,South Dakota,2013,930,204746,4.542213278891896
46,South Dakota,2014,956,207613,4.60472128431264
46,South Dakota,2015,1039,208456,4.984265264612197
46,South Dakota,2016,1151,213226,5.398028383030212
46,South Dakota,2017,1184,209611,5.648558520306663
47,Tennessee,2010,5886,1491907,3.9452861337871594
47,Tennessee,2011,6288,1483684,4.238099217892759
47,Tennessee,2012,6431,1486980,4.324873232995737
47,Tennessee,2013,6700,1486301,4.507835223147936
47,Tennessee,2014,5402,1487829,3.6307935925432293
47,Tennessee,2015,5979,1487106,4.0205607401220895
47,Tennessee,2016,6015,1497796,4.015900696757102
47,Tennessee,2017,6679,1499390,4.454478154449476
48,Texas,2010,16109,6859619,2.3483811564461528
48,Texas,2011,16903,6929918,2.43913420043354
48,Texas,2012,16619,6951032,2.3908680034849503
48,Texas,2013,16920,7006344,2.4149542186338553
48,Texas,2014,17357,7087300,2.449028544015351
48,Texas,2015,17319,7178585,2.412592453805311
48,Texas,2016,19193,7265152,2.6417891876178228
48,Texas,2017,19840,7339435,2.7032053557256113
49,Utah,2010,2226,866903,2.5677613296989397
49,Utah,2011,2034,874980,2.3246245628471507
49,Utah,2012,2262,875025,2.585068998028628
49,Utah,2013,2182,890834,2.4493901220653904
49,Utah,2014,2393,900026,2.658812078762169
49,Utah,2015,2270,905627,2.5065507101709645
49,Utah,2016,2365,916525,2.58039878890374
49,Utah,2017,2284,919359,2.4843396322872784
50,Vermont,2010,555,128934,4.304527897994323
50,Vermont,2011,664,125989,5.27030137551691
50,Vermont,2012,606,122179,4.959935831853264
50,Vermont,2013,677,124075,5.456377191214991
50,Vermont,2014,788,120548,6.53681521053854
50,Vermont,2015,958,117055,8.184186920678314
50,Vermont,2016,776,117991,6.576772804705444
50,Vermont,2017,756,115141,6.565862724833031
51,Virginia,2010,2779,1844800,1.5063963573287078
51,Virginia,2011,2614,1844836,1.4169281171876524
51,Virginia,2012,2653,1849270,1.4346201474095184
51,Virginia,2013,2583,1855620,1.391987583664759
51,Virginia,2014,3040,1860735,1.6337630022544856
51,Virginia,2015,2879,1864637,1.5440002531323793
51,Virginia,2016,2940,1856524,1.5836046288655574
51,Virginia,2017,2741,1859394,1.4741361970620535
53,Washington,2010,6249,1579106,3.9573024230165674
53,Washington,2011,5643,1570478,3.5931735433415812
53,Washington,2012,5299,1573531,3.3675853859885825
53,Washington,2013,5756,1584991,3.631566362206473
53,Washington,2014,6070,1592033,3.812735037527488
53,Washington,2015,5704,1603385,3.5574737196618402
53,Washington,2016,5736,1618744,3.5434880376390585
53,Washington,2017,5922,1639666,3.611711165566646
54,West Virginia,2010,2955,383465,7.706048791936683
54,West Virginia,2011,3486,380871,9.152705246658318
54,West Virginia,2012,3460,382595,9.043505534573113
54,West Virginia,2013,3467,378637,9.156527227925428
54,West Virginia,2014,3825,381834,10.017442134540142
54,West Virginia,2015,3950,375490,10.519587738688115
54,West Virginia,2016,4625,374766,12.341034138635841
54,West Virginia,2017,4923,371151,13.26414316545018
55,Wisconsin,2010,4523,1329359,3.4023916789971707
55,Wisconsin,2011,4442,1317583,3.3713246148439984
55,Wisconsin,2012,4432,1308785,3.386346878975538
55,Wisconsin,2013,4668,1301891,3.585553629297691
55,Wisconsin,2014,4818,1290965,3.7320918847528786
55,Wisconsin,2015,4700,1284680,3.6584986144409504
55,Wisconsin,2016,4783,1278834,3.740125770819356
55,Wisconsin,2017,5175,1275250,4.058027837678887
56,Wyoming,2010,975,135382,7.2018436719800265
56,Wyoming,2011,984,133724,7.358439771469595
56,Wyoming,2012,976,135220,7.217867179411329
56,Wyoming,2013,1005,139344,7.212366517395798
56,Wyoming,2014,979,135905,7.203561311210037
56,Wyoming,2015,1141,138714,8.22555762215782
56,Wyoming,2016,986,139557,7.065213496994059
56,Wyoming,2017,1134,137180,8.266511153229334
